,405,,480,,0,,650,,550
664,8307.606,664,7815.955,614,9891351.867,614,1230317.867,614,365.26
665,7268.483,665,6820.365,615,9961222.823,615,1358028.823,615,312.773
666,7613.946,666,6706.202,616,9986505.935,616,1503441.935,616,374.086
667,7053.104,667,8433.287,617,9902270.112,617,1653344.112,617,57.933
668,7357.014,668,7927.011,618,9913067.348,618,1835792.348,618,-495.669
669,7586.853,669,7429.861,619,9979412.63,619,2042444.63,619,176.714
670,9194.832,670,7397.889,620,9931979.87,620,2257946.87,620,297.495
671,7400.425,671,7239.525,621,9940573.028,621,2494982.028,621,300.012
672,9144.231,672,8436.532,622,9946799.276,622,2782989.276,622,-514.335
673,8065.429,673,7733.927,623,9993516.471,623,3084998.471,623,367.629
674,8635.658,674,7906.571,624,10005949.17,624,3403349.169,624,1023.76
675,9948.52,675,7389.996,625,9946442.808,625,3731463.808,625,156.23
676,8645.228,676,8068.798,626,9918026.235,626,4081877.235,626,94.411
677,9611.625,677,8679.45,627,9947114.772,627,4436615.772,627,318.364
678,7536.042,678,7241.63,628,9940356.342,628,4875824.342,628,418.703
679,7098.465,679,9186.57,629,9912292.03,629,5257537.03,629,455.448
680,9006.167,680,9247.979,630,9884884.717,630,5665950.717,630,0
681,8576.603,681,8576.603,631,9885028.344,631,5994345.344,631,0
682,8569.234,682,7389.271,632,9889193.004,632,6394563.004,632,134.828
683,10707.29,683,9132.458,633,9864718.418,633,6670981.418,633,237.661
684,9263.779,684,9263.779,634,9782774.389,634,7016081.389,634,512.975
685,9441.058,685,9635.081,635,9809804.066,635,7322035.066,635,554.683
686,9883.748,686,8247.159,636,9792315.835,636,7332370.835,636,70.29
687,10708.21,687,8978.703,637,9728321.445,637,6732112.445,637,248.725
