,Ecxitation_750,,Excitation_690,,Emission_550,,Emission_600,,Blank_600
603,2141396,603,6111550,863,38992.96,,,603,4206.091
604,2151806,604,6143684,864,37650.29,,,604,3847.387
605,2135347,605,6146262,865,35213.86,,,605,3395.861
606,2138657,606,6153286,866,32193.66,,,606,3969.34
607,2149681,607,6178454,867,30784.85,,,607,3685.133
608,2135193,608,6187250,868,31701.84,,,608,4047.844
609,2157423,609,6179876,869,29757.52,,,609,4325.022
610,2145174,610,6192105,870,30420.23,,,610,3985.334
611,2153284,611,6212945,871,26923.67,,,611,4915.78
612,2161686,612,6177800,872,26273.92,,,612,4977.401
613,2146248,613,6173547,873,25327.58,,,613,4764.824
614,2154716,614,6212342,874,26992.93,,,614,5120.267
615,2151086,615,6226866,875,25549,,,615,4765.011
616,2138562,616,6226802,876,24759.75,,,616,4953.14
617,2160060,617,6253085,877,25613.9,,,617,5083.331
618,2152943,618,6204989,878,21582.24,,,618,5579.717
619,2169256,619,6219438,879,23258.53,,,619,4692.162
620,2184441,620,6230626,880,21941.65,,,620,5362.472
621,2182878,621,6228505,881,17814.17,,,621,5408.475
622,2161271,622,6290342,882,21483.27,,,622,5204.104
623,2202374,623,6255078,883,19577.24,,,623,5295.654
624,2191187,624,6303891,884,19005.28,,,624,5364.277
625,2183648,625,6314439,885,20807.64,,,625,5660.662
626,2186085,626,6335487,886,21274.11,,,626,5787.914
627,2205496,627,6370162,887,20326.06,,,627,5184.033
628,2215345,628,6366556,888,17032.41,,,628,6100.393
629,2204351,629,6382853,889,18928.17,,,629,6242.84
630,2219740,630,6367589,890,18776.15,,,630,5624.404
631,2214205,631,6409639,891,19447.04,,,631,6322.339
632,2232883,632,6441843,892,18482.03,,,632,7081.724
633,2224754,633,6462178,893,16892.47,,,633,6677.915
634,2233289,634,6451228,894,19845.29,,,634,7444.848
635,2233803,635,6474701,895,19919.07,,,635,7698.264
636,2229037,636,6518876,896,16831.75,,,636,8031.938
637,2253131,637,6509119,897,17570.8,,,637,7266.375
638,2238718,638,6544390,898,16354.02,,,638,8550.096
639,2252322,639,6569824,899,16833.46,,,639,6841.135
640,2277186,640,6618331,900,15603.12,,,640,7595.798
641,2263309,641,6641703,,,,,641,7100.003
642,2272618,642,6655760,,,,,642,7912.321
643,2293717,643,6687140,,,,,643,9647.261
644,2297437,644,6719415,,,,,644,7697.025
